codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
agcq,舆论 ,yl,yú lùn  ,, public opinion,, F.opinion publique,
agct,供电,gd,gòng diàn ,, power supply,, F.alimentation en électricité,
agct,惯犯,gf,guàn fàn ,, habitual offender ; hardened criminal ; recidivist ; repeater,," F.criminel récidiviste, endurci",
agct,烘托,ht,hōng tuō ,, add shading around an object to make it stand out ; set off by contrast ; throw into sharp relief,, F.faire ressortir par contraste,
agct,质地,zd,zhì dì ,, quality ; character ; disposition,, F.qualité ; texture ; dispositions naturelles,
agd,丢,d,diū ,, lose ; mislay ; throw ; cast ; toss ; put aside ; aly aside,, F.perdre ; abandonner ; rejeter,
agdg,供销,gx,gòng xiāo ,, supply and marketing,, F.approvisionnement et vente,
agdg,懒惰,ld,lǎn duò ,, lazy,, F.paresser,
agdg,倾销,qx,qīng xiāo ,, dump,, F.dumping,
agdq,镇痛   ,zt,zhèn tòng    ,, ease pain,, F.atténuer la douleur ,
ageg,惯性,gx,guàn xìng ,, inertia,, F.inertie,
agel,积雪,jx,jī xuě ,, accumulated snow ; accumulation of snow ; snow,, F.neige accumulée ; neiges éternelles,
ageq,顺当,sd,shùn dāng ,, smoothly ; without a hitch,, F.facile ; sans accroc ; sans difficulté ; doucement,
ageq,债主,zz,zhài zhǔ ,, creditor,, F.créancier ,
agex,共产主义,gczy,gòng chǎn zhǔ yì ,, communism,, F.communisme,
agf,负,f,fù ,, negative,, F.Négatif,
agfg,负重,fz,fù zhòng ,, bear a heavy burden,, F.assumer une lourde charge,
agfg,慎重,sz,shèn zhòng ,, cautious ; careful ; prudent ; discreet,," F.sérieux, attentif ; soigneux ; prudent ; circonspect",
agfi,质量,zl,zhì liàng ,, truth                        ,, F.qualité,
agfl,积压,jy,jī yā ,, keep long in stock ; overstock,, F.stock ; stocker,
agfl,镇压  ,zy,zhèn yā   ,, suppress ; repress ; put down,, F.réprimer ; étouffer ; réduire à l'impuissance,
agg,负心,fx,fù xīn ,, show ungratefulness,, F.se montrer ingrat ,
agg,倾心,qx,qīng xīn ,, admire ; fall in love with ; lose one's heart to,, F.tendre de tout son cœur vers ; être épris de ; de tout son cœur,
agg,顺心,sx,shùn xīn ,, satisfactory,, F.tout va bien ; à souhait ; à son gré ; au gré de,
agg,贪心,tx,tān xīn ,, greed ; avarice ; rapacity ; greedy ; avaricious ; insatiable ;voracious ,, F.avidité ; cupidité,
agg,真恶心,zex,zhēn è xīn ,, Disgusting,, F.dégoûtant,
aggg,积德,jd,jī dé ,, accumulate virtue,, F.accomplir bonne œuvre sur bonne œuvre,
aggg,积怨,jy,jī yuàn ,, accumulated rancor ; piled-up grievances,, F.haine invétérée ; vieille rancune,
aggj,倹,俭,ケン,, Thrifty,, F.Économe,
aggq,债户     ,zh,zhài hù      ,, debtor,, F.débiteur,
aggt,愤怒,fn,fèn nù ,, angry ; indignation ; wrath        ,, F.se mettre en colère ; indignation ; colère,
agh,兵力,bl,bīng lì ,, military strength ; armed forces,, F.puissance militaire ; force des armes ; troupes,
agh,货,h,huò ,," goods, merchandise       ",," F.marchandise, denrée",
agh,貨,h,huò ,," goods, merchandise       ",," F.marchandise, denrée",
aghg,负伤,fs,fù shāng ,, be wounded ; be injured,, F.être blesser,
aghg,债务 ,zw,zhài wù  ,, debt ; liabilities,, F.obligation,
aghi,赞助 ,vz,zàn zhù  ,, aid financially ; subsidize,, F.aider financièrement ; pécuniairement ; subventionner ; financer,
aghq,贷方,df,dài fāng ,, credit side ; credit,, F.avoir ; crédit ; compte créditeur,
aghq,供词,gi,gòng cí ,, a statement made under examination ; confession,, F.déposition écrite ; aveu,
aghq,积习,jx,jī xí ,, old habit ; long-standing practice,, F.vieille habitude,
aghq,贫穷,pq,pín qióng ,, poor ; needy ; impoverished,, F.pauvreté ; indigence ; gêne ; misère,
aghq,颂词,ui,sòng cí ,, complimentary address ; panegyric ; eulogy,, F.éloge ; panégyrique,
aghq,债券  ,zq,zhài quàn   ,, bond ; debenture,, F.obligation ; bon ; titre d'emprunt,
aght,侦办     ,zb,zhēn bàn      ,, do detective work,, F.épier ; observer ,
agig,惯,g,guàn ,, used,, F.Utilisé,
agig,惯例,gl,guàn lì ,, convention ; usual practice,, F.usage établi ; coutume ; usage ; convention,
agii,倾听,qt,qīng tīng ,, listen attentively to lend an attentive ear to,, F.prêter l'oreille ; être suspendu aux lèvres de,
agii,侦听  ,zt,zhēn tīng   ,, intercept,, F.intercepter,
agij,慣,惯,カン、な-れる、な-らす,, used,, F.Utilisé,
agij,积,j,jī ,, product,, F.Produit,
agij,惧 ,恐惧,グ,, frear ; dread ; be afraid of,, F.appréhender ; redouter ; craindre ; avoir peur,
agij,傾,倾斜,ケイ、かたむ-く、かたむ-ける,, tilt ; incline ; slope ; slant,, F.inclinaison ; pente ; déclivité ; en pente,
agij,偵,拘留,テイ,, detain ; hold in custody ; intern; detention; provisional apprehension,, F.détenir ; détention préventive ; ,
agiq,供养,gy,gòng yǎng ,, make offerings to ; offer sacrifices to,, F.faire des offrandes,
agix,资产阶级,vcjj,zī chǎn jiē jí ,, the capitalist class ; the bourgeoisie,, F.bourgeoisie,
agj,兵,卒,ヘイ、ヒョウ,, soldier ; private ; finish ; end ; finally ; at last ; die ; pawn,, F.valet ; serviteur ; soldat ; pion ; finir ; terminer ; achever,
agj,貸,借出,タイ、か-す,, Lend,, F.Prêt,
agj,負,负,フ、ま-ける、ま-かす、お-う,, negative,, F.Négatif,
agj,貨,币,カ,, money ; currency,, F.monnaie,
agj,賃,薪水,チン,, salary ; pay ; wages,, F.traitement ; appointements ; salaire ; paie,
agj,貿,贸易,ボウ,, trading,, F.commerce,
agj,冥,阴间   ,メイ、ミョウ,, the nether world,, F.monde des ténèbres ; empire des morts ; les enfers,
agj,貧,贫困,ヒン、ビン、まず-しい,, poor ; impoverished ; in straitened circumstances,, F.appauvri ; miséreux,
agj,貪,觊觎,ドン、むさぼ-る,, Covet,, F.Convoiter,
agj,興,快乐, コウ、キョウ、おこ-る、おこ-す,, happy        ,," F.joyeux, gai",
agj,質,质量,シツ、シチ、（チ）,, truth                        ,, F.qualité,
agjg,倾倒,qd,qīng dǎo ,, topple and fall ; topple over ; greatly admire,, F.tomber à terre ; tomber en admiration devant ; plein d'admiration pour ; s'amouracher de  ; verser ; vider  ,
agjg,顺利,sl,shùn lì ,, plain sailing ; successfully,," F.favorable, facile",
agjg,顺手,ss,shùn shǒu ,, smoothly ; without difficulty ; handy ; convenient and easy to use,, F.aisément ; sans difficulté ; aller tout seul ; profiter de l'occasion pour ; par la même occasion ; sans peine,
agji,贪财,ti,tān cái ,, be greedy for money,, F.convoiter les richesses ; avide de richesses,
agjl,质子,zv,zhì zǐ ,, proton,, F.proton,
agjq,顺序,sx,shùn xù ,, sequence ; order,, F.en ordre ; chacun à son tour,
agjq,镇守 ,zs,zhèn shǒu  ,, guard ; garrison,, F.garder une place,
agjt,负荷,fh,fù hé ,, load,, F.charge ; se charger,
agjt,镇静,zj,zhèn jìng ,," keep one's head ; unruffled, calm        ",, F.rester impassible ; garder son sang-froid ; du calme !,
agki,顺眼,sy,shùn yǎn ,, pleasing to eye,, F.agréable à voir ; attrayant ; agréable,
agkl,供水,gs,gòng shuǐ ,, water supply,, F.approvisionnement en eau,
agkl,积水,js,jī shuǐ ,," hydrocele, seeper",, F.eau stagnante,
agkt,供求,gq,gòng qiú ,, supply and demand,, F.l'offre et la demande,
aglj,頒,颁布,ハン,, Issue,, F.question,
aglj,煩,烦恼, ハン、（ボン）、わずら-う、わずら-わす,, worried ; vexed ,, F.vexé ; contrarié ; inquiet,
aglj,價,j,jià ,," pointed, acute ",," F.pointu, aigu",
aglj,領,领,リョウ,, collar,, F.Collerette,
aglj,順,顺,ジュン,, in the same direction as ; with ; along,, F.se conformer à ; selon ; docile ; se soumettre ; favorable,
aglj,須,强制性,ス,, Mandatory,, F.Obligatoire,
aglq,供应,gy,gòng yīng ,, supply,, F.fournir ; pourvoir ; ravitailler,
aglq,顺应,sy,shùn yīng ,, comply with ; conform to,, F.s'adapter ; conformer qch.  à qch. ,
agls,顺,s,shùn ,, in the same direction as ; with ; along,, F.se conformer à ; selon ; docile ; se soumettre ; favorable,
aglt,负担,fd,fù dān ,, bear (a burden) ; shoulder (mental or material) burden        ,, F.se charger de ; fardeau ; poids,
aglx,须,x,xū ,, must ; have to ; beard ; mustache ; palpus ; feeler ; tassel,, F.falloir ; devoir ; barbe ; frange ; barbillon,
aglx,須,x,xū ,, must ; have to ; beard ; mustache ; palpus ; feeler ; tassel,, F.falloir ; devoir ; barbe ; frange ; barbillon,
agmi,积累,jl,jī lèi ,, accumulate,, F.accumuler ; amasser ,
agmq,货源,hy,huò yuán ,, source of goods ; supply of goods,, F.source des marchandises ; approvisionnement,
agmq,侦察 ,zc,zhēn chá  ,, reconnoitre ; scout,, F.aller en reconnaissance ; en observation ; en patrouille ; en éclaireur ; faire une enquête ; mener une instruction,
agmt,货架,hj,huò jià ,, goods shelves,," F.rayon, étagère de marchandises",
agmt,积木,jm,jī mù ,, building blocks ; toy bricks,, F.jeux de construction ; jeu de cubes,
agmt,侦探  ,zt,zhēn tàn   ,, do detective work,, F.surveiller ; épier ; espionner ; policier,
agng,货币,hb,huò bì ,,  currency        ,, F.monnaie ; monétaire,
agng,倾向,qx,qīng xiàng ,, say what is on one's mind without reservation,," F.pencher pour, vers ; être porté à; tendre à; penchant; inclination; tendance",
agng,质问,zw,zhì wèn ,, question ; interrogate ; call to account,, F.interroger ; questionner ; demander compte ; interpeller,
agnl,赞同  ,vt,zàn tóng   ,, approve of ; agree with ; endorse,, F.approuver ; appuyer ; consentir à,
agnt,颁布,bb,bān bù ,, promulgate ; issue ; publish,, F.promulguer ; publier ; promulgation,
ago,顺口,sk,shùn kǒu ,, read smoothly ; suit one's taste ; speak casually ; say offhandedly,, F.dire qch.  sans réfléchir ; par mégarde ; facile à prononcer ; style coulant ; agréable au goût,
agog,货船,hc,huò chuán ,, frreighter ; cargo ship ; cargo vessel,, F.cargo ; vaisseau marchand,
agog,领悟,lw,lǐng wù ,, comprehend ; grasp,, F.comprendre ; percevoir par l'intelligence,
agog,须知,xz,xū zhī ,, one should know that ; it must be understood that ; points for attention ; notice,, F.ce qu'il faut savoir ; précis ; traité élémentaire ; avis ; notice,
agoi,兵器,bq,bīng qì ,, weaponry ; weapons ; arms,, F.arme ; matériel de guerre ; armement,
agoi,顺路,sl,shùn lù ,, on the way,, F.profiter de ce que l'on passe par là pour ; sur sa route ; route directe et sans obstacle,
agol,供给,gg,gòng gěi ,, supply ; provide ; furnish,, F.fournir ; approvisionner en ,
agoq,慎言,sy,shèn yán ,, be careful how you speak of the rest,, F.faire attention à ce qu'on dit ; prudent en paroles,
agot,贫苦,pk,pín kǔ ,, poor ; poverty stricken ; badly off ; impoverished,, F.pauvre ; miséreux,
agp,贫,p,pín ,, poor ; impoverished,, F.pauvre ; déficient ; insuffisant ; chiche ; avare ; ennuyeux ;fastidieux ; assommant ,
agp,貧,p,pín ,, poor ; impoverished,, F.pauvre ; déficient ; insuffisant ; chiche ; avare ; ennuyeux ;fastidieux ; assommant ,
agpg,贫血,px,pín xuè ,, anemia,, F.anémie ; anémique,
agqg,贸然,mr,mào rán ,, rashly ; hastily ; without careful consideration,, F.à l' aveugle ; inconsidérément ; à la légère,
agqj,償,折旧  ,ショウ、つぐな-う,, depreciation,, F.amortissement ; dépréciation,
agqj,鎖,链子,サ、くさり,,chain,, F.chaîne,
agqq,贫寒,ph,pín hán ,, poor ; poverty stricken,, F.miséreux ; nécessiteux ; indigent,
agqq,倾诉,qu,qīng sù ,, pour out ; pour forth,, F.épancher ; raconter ; relater,
agqt,质朴,zp,zhì pǔ ,, simple and unadorned ; unaffected ; plain,," F.naturel, simple, sincère",
agrg,颁发,bf,bān fā ,, issue ; promulgate ; award,, F.décerner ; conférer ; distribuer,
agrg,兵役,by,bīng yì ,, military service,, F.service militaire,
agri,供暖,gn,gòng nuǎn ,, supply of heat,, F.apport de chaleur,
agri,赞叹  ,vt,zàn tàn   ,, gasp in admiration ; highly praise,," F.s'exclamer, être saisi d'admiration ; s'extasier",
agrl,侦破  ,zp,zhēn pò   ,, investigate and solve,, F.percer à jour ; découvrir le secret,
agrq,兵变,bb,bīng biàn ,, mutiny,," F.mutinerie de soldats, émeute, révolte militaire ; se mutiner",
agrq,质变,zb,zhì biàn ,, qualitative change,, F.changement qualitatif,
agrt,债权  ,zq,zhài quán   ,, creditor's rights ; obligatory right,, F.droit de créance ; créance,
agsa,烘烤,hk,hōng kǎo ,," friring, toast",, F.sécher au feu ; griller ; rôtir,
agsi,负号,fh,fù hào ,, negative sign,, F.signe négatif,
agsi,贸易,my,mào yì ,, trade        ,," F.commerce, négoce",
agsq,贪污,tw,tān wū ,, corruption ; graft,, F.cupide ; vénal ; corruption ; vénalité,
agsq,质询,zx,zhì xún ,, address inquiries to ; ask for an explanation,, F.interroger ; interpeller ; demander raison,
agst,货物,hw,huò wù ,, goods ,, F.marchandises ; articles ,
agst,颂扬,uy,sòng yáng ,, sing sb. 's praises ; laud ; extol ; eulogize,, F.louer ; faire l'éloge de ; exalter ; célébrer,
agst,赞扬  ,vy,zàn yáng   ,, speak highly of praise ; commend,, F.louer ; vanter ; exalter,
agtg,倾斜,qx,qīng xié ,, tilt ; incline ; slope ; slant,, F.inclinaison ; pente ; déclivité ; en pente,
agth,烘,h,hōng ,, dry or warm by the fire ; set off,, F.chauffer ; sécher au feu,
agtj,憤,愤怒,フン、いきどお-る,, angry ; indignation ; wrath        ,, F.se mettre en colère ; indignation ; colère,
agtj,供,供应, キョウ、（ク）、そな-える、とも,, supply,, F.fournir ; pourvoir ; ravitailler,
agtj,積,积,セキ、つ-む、つ-もる,, product,, F.Produit,
agtj,慎,诚,シン、つつし-む,, sincere ; honest ; really ; actrally ; indeed,, F.sincèrement ; honnête ; vrai ; véritable ; sincère ; franc ; loyal,
agtj,債,债务 ,サイ,, debt ; liabilities,, F.obligation,
agtj,鎮,镇,チン、しず-める、しず-まる,, town,, F.ville,
agtl,懒,l,lǎn ,, lazy ,, F.paresseux ; indolent,
agtl,顺耳,sr,shùn ěr ,, pleasing to the ear,, F.qui flatte l'oreille ; agréable à entendre,
agtl,侦缉 ,zj,zhēn jī  ,, track down and arrest,, F.dépister un malfaiteur en vue de l'arrêter,
agtq,颁奖,bj,bān jiǎng ,, bestow a prize,, F.accorder un prix,
agtq,货单,hd,huò dān ,, manifest ; waybill shipping list,, F.liste des marchandises ; manifeste,
agtq,赞许,vx,zàn xǔ ,, speak favorably of ; praise ; commend,, F.louer ; approuver,
agtt,供奉,gf,gòng fèng ,, enshrine and worship ; consecrate,, F.offrir,
agtt,货车,hc,huò chē ,, goods train ; freight train ; goods van ; freight car ; truck ; lorry,, F.wagon de marchandises ,
agtv,镇,zen,zhèn ,, town,, F.ville,
agug,烦恼,fn,fán nǎo ,, worried ; vexed ,, F.vexé ; contrarié ; inquiet,
agug,贪图,tt,tān tú ,, seek ; hanker after ; covet,, F.convoiter ; désirer ardemment,
aguq,领袖,lx,lǐng xiù ,, leader        ,, F.dirigeant ,
agut,积蓄,jx,jī xù ,, put aside ; save ; accumulate,, F.économiser ; épargner,
agut,贫困,pk,pín kùn ,, poor ; impoverished ; in straitened circumstances,, F.appauvri ; miséreux,
agvg,积少成多,jscd,jī shǎo chéng duō ,, many a little makes a mickle ; a penny saved is ,, F.les petits ruisseaux font les grandes rivières ,
agvi,贫民,pm,pín mín ,, poor people ; pauper,, F.pauvre ; indigent,
agvi,顺民,sm,shùn mín ,, people submissive,," F.peuple soumis, assujetti",
agvt,货栈,hz,huò zhàn ,, warehouse,, F.entrepôt ; dock ; magasin,
agvt,领域,ly,lǐng yù ,, territory ; domain ; realm,, F.territoire ; domaine,
agvt,赞成,vc,zàn chéng ,, approve ; agree        ,, F.approuver,
agw,共产党,gcd,gòng chǎn dǎng ,, communist party,, F.parti  communiste,
agwg,领先,lx,lǐng xiān ,, be in the lead ; lead,, F.en tête,
agwl,贪玩,tw,tān wán ,, unruly,, F.aimer à s'amuser ; dissipé,
agwq,顺流,sl,shùn liú ,, go downstream,, F.suivre le courant ; dans le sens du courant ; au fil de l'eau ; ,
agwt,顺风,sf,shùn fēng ,, have a favorable wind ; have a tail wind,, F.avoir bon vent ; vent favorable ; avoir le vent en poupe,
agwt,顺境,sj,shùn jìng ,, situation favorable,, F.situation favorable ; conditions favorables,
agxg,顺便,sb,shùn biàn ,, conveniently ; in passing,, F.profiter de l'occasion pour ; en passant ; commodément,
agxl,须要,xy,xū yào ,, must ; have to,," F.être nécessaire, indispensable ; falloir",
agxq,负数,fs,fù shù ,, negative number,, F.nombre négatif,
agxq,质数,zs,zhì shù ,, prime number,, F.nombre premier,
agxt,积极,jj,jī jí ,, positive ; active ; enthusiastic ,," F.positif, actif",
agxt,贪婪,tl,tān lán ,, avaricious ; greedy ; rapacious,, F.cupide ; avide de gain ; cupidité ; avarice,
agy,烦人,fr,fán rén ,, annoying ; vexing ; troubling,, F.troublant ; vexant ; dérangeant,
agy,與,y,yǔ ,, give ; offer ; grant ; with ; against ; and,, F.et ; ainsi que ; ou ; à ; de ; avec ; contre,
agyg,顺从,si,shùn cóng ,, be obedient to ; submit to ; yield to,," F.obéir ; être soumis, docile ; se conformer ",
agyg,真心实意  ,zxsy,zhēn xīn shí yì   ,, genuinely and sincerely ; truly and wholeheartedly,, F.cœur sincère  ,
agyl,赞歌  ,vg,zàn gē   ,, approve of ; favor ; agree with ; endorse,, F.hymne ; ode,
agyl,质疑,zy,zhì yí ,, call in question ; query,, F.mettre en cause ; en question ; contester,
agyq,供认,gr,gòng rèn ,, confess,, F.faire des aveux en justice ; avouer ; reconnaître,
agyq,供状,gz,gòng zhuàng ,, written confession ; deposition,, F.déposition écrite,
agyq,赞美,vm,zàn měi ,,  praise        ,," F.louer, célébrer",
agyq,镇定   ,zd,zhèn dìng    ,, calm ; cool ; composed,, F.calme ; imperturbable ; rester impassible ; garder son sang-froid ;se posséder ,
agyt,贷款,dk,dài kuǎn ,,  provide a lo ; extend credit to ; make  advce to ; lo ; credit,, F.fournir un lo; accorder du crédit à; faire advce à; lo; crédit,
agyt,债款  ,zk,zhài kuǎn   ,, loan,, F.dette,
agz,质,z,zhì ,,  nature ; character ; quality ; matter ; substance ; simple ; plain ; question ; pawn ; mortgage ; pledge,, F.matière ; nature ; qualité,
agz,質,z,zhì ,,  nature ; character ; quality ; matter ; substance ; simple ; plain ; question ; pawn ; mortgage ; pledge,, F.matière ; nature ; qualité,
agzg,贫乏,pf,pín fá ,, poor ; short ; lacking,, F.pauvre ; indigent,
agzg,顺延,sy,shùn yán ,, postpone,, F.reporter à une date ultérieure;remettre à plus tard;renvoi à; ajournement,
agzl,货运,hy,huò yùn ,, frreight transport,, F.transport de marchandises,
ahac,真刀真枪   ,zdzq,zhēn dāo zhēn qiāng    ,, real swords and spears ; the real thing,, F.les vraies choses ,
ahvy,积劳成疾,jlcj,jī láo chéng jí ,, break down from constant overwork ; fall sick from overwork,, F.tomber malade de surmenage ; se tuer de travail,
ahy,真功夫    ,zgf,zhēn gōng fū     ,, solid learning ; real ability and learning ; genuine talent,, F.talent véritable ,
aial,只顾,zg,zhī gù ,, be absorbed in,, F.ne s'occuper que de ; s'absorber dans ; n'hésitez pas à,
aib,贝,b,bèi ,, shell,, F.Coquillages,
aib,貝,b,bèi ,, shell,, F.Coquillages,
aibg,喷香,px,pēn xiāng ,, frragrant ; delicious,, F.exhaler un parfum pénétrant ; très odorant ; odoriférant,
aibg,只怕        ,zp,zhī pà         ,, be afraid of only one thing,, F.très probablement,
aict,哄抢,hq,hǒng qiǎng ,," noisily and panicly purchase, noisily plunder",, F.piller bruyamment ,
aid,只用,zy,zhī yòng ,,  only,, F.seulement ; seul ; ne … que,
aidi,贤明,xm,xián míng ,, wise and able ; sagacious,, F.sage et éclairé ; vertueux et capable,
aidq,只消,zx,zhī xiāo ,, all one has to do is ; need only to,, F.il suffit de ; n'avoir qu'à ,
aidt,只有,zy,zhī yǒu ,, only need …,, F.il suffit d'utiliser,
aif,员工   ,yg,yuán gōng    ,, staff ; personnel,, F.employés et ouvriers ; le personnel,
aig,贯,g,guàn ,, Run through,, F.parcourir,
aigt,贤惠,xh,xián huì ,, virtuous,, F.vertueuse et sage,
aihg,贯彻,gc,guàn chè ,, carry out ; implement ; put into effect,," F.appliquer à fond ; exécuter ; accomplir ; mettre en application, à exécution",
aihl,哄动,hd,hǒng dòng ,, cause a sensation ; make a stir,, F.avoir un grand retentissement ; faire sensation ; remuer (l'opinion),
aiib,呗,b,bei ,, chant,, F.Chant,
aij,貝,貝,かい,, shell,, F.Coquillages,
aij,貫,贯,カン、つらぬ-く,, Run through,, F.parcourir,
aij,具,具备,グ,, possess ; have ; be provided with,, F.avoir ; posséder ; remplir ; être muni de,
aij,買,优惠 ,バイ、か-う,, preferential ; favorable,, F.favorable ; préférentiel ; de faveur,
aij,呉,吴,ゴ,, Last name,, F.nom de famille,
aij,異,异     ,イ、こと,, different,, F.différent ; dissemblable ; étrange ; extraordinaire ; ,
aij,員,员工   ,イン,, staff ; personnel,, F.employés et ouvriers ; le personnel,
aij,貞,贞洁   ,テイ,, chaste and undefiled,, F.chaste et intègre,
aijg,只得,zd,zhī dé ,, have to       ,, F.il n'y a qu'à ; ne pouvoir que,
aijg,只身  ,zs,zhī shēn   ,, alone ; by oneself,, F.seul ; solitaire,
aikg,喷泉 ,pq,pēn quán  ,, fountain,, F.fontaine ; source jaillissante ; jet d'eau,
aikq,喷漆,pq,pēn qī ,, spray paint ; spray lacquer,, F.peindre au pistolet,
aikq,贤良,xl,xián liáng ,, able and virtuous,, F.sage ; vertueux ; bon,
ailj,顎,颏,ガク、あご,, chin,, F.Menton,
ailj,頻,频繁,ヒン,, frrequently ; often,, F.souvent ; fréquemment ; fréquent ; incessant,
ailk,颗,k,kē ,, grain        ,, F.sp. pour des objets ronds,
ailp,频,p,pín ,, frrequently ; repeatedly ; ,, F.fréquent ; maintes fois,
ailq,颗粒,kl,kē lì ,, pellet ; anything small and roundish ; grain,, F.petit grain ; granule,
aim,買,m,mǎi ,, buy ; purchase,, F.acheter,
aimg,具体,jt,jù tǐ ,, concrete        ,, F.concret,
aimg,频繁,pf,pín fán ,, frrequently ; often,, F.souvent ; fréquemment ; fréquent ; incessant,
ainl,哄骗,hp,hǒng piàn ,," cheat, humbug, hoodwink",, F.tromper ; escroquer ; duper ; tricher,
aiog,只管     ,zg,zhī guǎn      ,, by all means ; not hesitate to,, F.ne pas hésiter à ; n'avoir qu'à,
aioq,贞洁   ,zj,zhēn jié    ,, chaste and undefiled,, F.chaste et intègre,
aip,趴,p,pā ,, inclined to one side ; oblique,, F.prévenu ; partial ; injuste ; assez ; beaucoup,
aipt,贞节     ,zj,zhēn jiē      ,, chastity ; virginity,, F.chasteté ; virginité,
aiql,贞烈    ,zl,zhēn liè     ,, ready to die to preserve one's chastity,, F.inflexible jusqu'à la mort ,
aith,哄,h,hǒng ,," deceive, mislead       ",," F.tromper, duper",
aitj,噴,注射剂,フン、ふ-く,, injection,, F.Injection,
aitq,频率,pl,pín lǜ ,, frrequency,, F.fréquence,
aitt,贯串,gc,guàn chuàn ,, run through ; penetrate,, F.enfiler ; traverser de part en part ; passer à travers,
aiug,具备,jb,jù bèi ,, possess ; have ; be provided with,, F.avoir ; posséder ; remplir ; être muni de,
aiui,喷出,pc,pēn chū ,, Spray,, F.Pulvériser,
